player1,player2,p1_cards,p2_cards,p1_tricks,p2_tricks,cards_p1_wins,cards_p2_wins,cards_ties,tricks_p1_wins,tricks_p2_wins,tricks_ties,cards_p1_win_rate,cards_p2_win_rate,cards_tie_rate,tricks_p1_win_rate,tricks_p2_win_rate,tricks_tie_rate
000,001,118772368,119622740,17527178,18562210,2358969,2540716,100315,2021112,2207430,771458,0.4717938,0.5081432,0.020063,0.4042224,0.441486,0.1542916
000,010,92336888,146514685,14448185,22756458,1384730,3534222,81048,1057138,3324731,618131,0.276946,0.7068444,0.0162096,0.2114276,0.6649462,0.1236262
000,011,92926264,152184076,17527178,27318429,879127,4020963,99910,562416,3848458,589126,0.1758254,0.8041926,0.019982,0.1124832,0.7696916,0.1178252
000,100,12676242,225714439,4225414,31864989,67,4999915,18,5519,4974339,20142,1.34e-05,0.999983,3.6e-06,0.0011038,0.9948678,0.0040284
000,101,98773718,144734735,17527178,25596186,1260466,3632113,107421,838635,3472239,689126,0.2520932,0.7264226,0.0214842,0.167727,0.6944478,0.1378252
000,110,59895055,185204890,12976785,31864823,47219,4939602,13179,41479,4837067,121454,0.0094438,0.9879204,0.0026358,0.0082958,0.9674134,0.0242908
000,111,118055785,118087140,17527178,17526074,2426794,2429210,143996,1625119,1624564,1750317,0.4853588,0.485842,0.0287992,0.3250238,0.3249128,0.3500634
001,000,119622740,118772368,18562210,17527178,2540716,2358969,100315,2207430,2021112,771458,0.5081432,0.4717938,0.020063,0.441486,0.4042224,0.1542916
001,010,169763057,73967135,28250718,14721258,4315901,618463,65636,4005604,580169,414227,0.8631802,0.1236926,0.0131272,0.8011208,0.1160338,0.0828454
001,011,175192093,71759763,31864462,15937991,4778594,179874,41532,4413962,259319,326719,0.9557188,0.0359748,0.0083064,0.8827924,0.0518638,0.0653438
001,100,36974053,203321527,9691353,29879592,9385,4988261,2354,130476,4676693,192831,0.001877,0.9976522,0.0004708,0.0260952,0.9353386,0.0385662
001,101,167083108,81254612,31864462,19326480,4589616,341415,68969,3963085,565898,471017,0.9179232,0.068283,0.0137938,0.792617,0.1131796,0.0942034
001,110,124171119,124163258,25597478,25593492,2389279,2388493,222228,2046909,2046685,906406,0.4778558,0.4776986,0.0444456,0.4093818,0.409337,0.1812812
001,111,185190821,59928068,31864462,12981084,4939747,47279,12974,4836893,41591,121516,0.9879494,0.0094558,0.0025948,0.9673786,0.0083182,0.0243032
010,000,146514685,92336888,22756458,14448185,3534222,1384730,81048,3324731,1057138,618131,0.7068444,0.276946,0.0162096,0.6649462,0.2114276,0.1236262
