player1,player2,p1_card_wins,p2_card_wins,card_draws,p1_trick_wins,p2_trick_wins,trick_draws
000,001,808129,883632,308239,808129,883632,308239
000,010,423320,1329686,246994,423320,1329686,246994
000,011,224550,1540053,235397,224550,1540053,235397
000,100,2201,1989673,8126,2201,1989673,8126
000,101,334690,1389322,275988,334690,1389322,275988
000,110,16764,1934392,48844,16764,1934392,48844
000,111,649672,649614,700714,649672,649614,700714
001,000,883632,808129,308239,883632,808129,308239
001,010,1602131,232187,165682,1602131,232187,165682
001,011,1766323,103665,130012,1766323,103665,130012
001,100,52540,1870796,76664,52540,1870796,76664
001,101,1585022,226285,188693,1585022,226285,188693
001,110,818248,819157,362595,818248,819157,362595
001,111,1934558,16640,48802,1934558,16640,48802
010,000,1329686,423320,246994,1329686,423320,246994
010,001,232187,1602131,165682,232187,1602131,165682
010,011,863152,863224,273624,863152,863224,273624
010,100,847445,883852,268703,847445,883852,268703
010,101,811599,812682,375719,811599,812682,375719
010,110,226038,1585366,188596,226038,1585366,188596
010,111,1388106,335891,276003,1388106,335891,276003
011,000,1540053,224550,235397,1540053,224550,235397
011,001,103665,1766323,130012,103665,1766323,130012
011,010,863224,863152,273624,863224,863152,273624
011,100,863034,863509,273457,863034,863509,273457
011,101,885006,846466,268528,885006,846466,268528
011,110,1871029,52303,76668,1871029,52303,76668
011,111,1989871,2260,7869,1989871,2260,7869
100,000,1989673,2201,8126,1989673,2201,8126
100,001,1870796,52540,76664,1870796,52540,76664
100,010,883852,847445,268703,883852,847445,268703
100,011,863509,863034,273457,863509,863034,273457
100,101,862306,864035,273659,862306,864035,273659
100,110,103485,1765538,130977,103485,1765538,130977
100,111,1539319,225618,235063,1539319,225618,235063
101,000,1389322,334690,275988,1389322,334690,275988
101,001,226285,1585022,188693,226285,1585022,188693
101,010,812682,811599,375719,812682,811599,375719
101,011,846466,885006,268528,846466,885006,268528
101,100,864035,862306,273659,864035,862306,273659
101,110,232545,1602136,165319,232545,1602136,165319
101,111,1330341,423072,246587,1330341,423072,246587
110,000,1934392,16764,48844,1934392,16764,48844
110,001,819157,818248,362595,819157,818248,362595
110,010,1585366,226038,188596,1585366,226038,188596
110,011,52303,1871029,76668,52303,1871029,76668
110,100,1765538,103485,130977,1765538,103485,130977
110,101,1602136,232545,165319,1602136,232545,165319
110,111,882134,808334,309532,882134,808334,309532
111,000,649614,649672,700714,649614,649672,700714
111,001,16640,1934558,48802,16640,1934558,48802
111,010,335891,1388106,276003,335891,1388106,276003
111,011,2260,1989871,7869,2260,1989871,7869
111,100,225618,1539319,235063,225618,1539319,235063
111,101,423072,1330341,246587,423072,1330341,246587
111,110,808334,882134,309532,808334,882134,309532
