player1,player2,p1_cards,p2_cards,p1_tricks,p2_tricks,cards_p1_wins,cards_p2_wins,cards_ties,tricks_p1_wins,tricks_p2_wins,tricks_ties,cards_p1_win_rate,cards_p2_win_rate,cards_tie_rate,tricks_p1_win_rate,tricks_p2_win_rate,tricks_tie_rate
000,001,47519896,47837684,7010316,7424684,944008,1015857,40135,808129,883632,308239,0.472004,0.5079285,0.0200675,0.4040645,0.441816,0.1541195
000,010,36938230,58599716,5777524,9102633,553815,1413349,32836,423320,1329686,246994,0.2769075,0.7066745,0.016418,0.21166,0.664843,0.123497
000,011,37168448,60882515,7010316,10930428,351725,1608372,39903,224550,1540053,235397,0.1758625,0.804186,0.0199515,0.112275,0.7700265,0.1176985
000,100,5069505,90293608,1689835,12745967,22,1999968,10,2201,1989673,8126,1.1e-05,0.999984,5e-06,0.0011005,0.9948365,0.004063
000,101,39502583,57903628,7010316,10238998,503703,1453361,42936,334690,1389322,275988,0.2518515,0.7266805,0.021468,0.167345,0.694661,0.137994
000,110,23960810,74088871,5191911,12747292,18888,1975832,5280,16764,1934392,48844,0.009444,0.987916,0.00264,0.008382,0.967196,0.024422
000,111,47215270,47243586,7010316,7010886,970743,971969,57288,649672,649614,700714,0.4853715,0.4859845,0.028644,0.324836,0.324807,0.350357
001,000,47837684,47519896,7424684,7010316,1015857,944008,40135,883632,808129,308239,0.5079285,0.472004,0.0200675,0.441816,0.4040645,0.1541195
001,010,67891744,29593597,11299859,5890808,1726311,247495,26194,1602131,232187,165682,0.8631555,0.1237475,0.013097,0.8010655,0.1160935,0.082841
001,011,70080669,28699250,12745173,6374192,1911374,71943,16683,1766323,103665,130012,0.955687,0.0359715,0.0083415,0.8831615,0.0518325,0.065006
001,100,14787255,81338870,3876337,11953185,3817,1995224,959,52540,1870796,76664,0.0019085,0.997612,0.0004795,0.02627,0.935398,0.038332
001,101,66824909,32510461,12745173,7732094,1835807,136404,27789,1585022,226285,188693,0.9179035,0.068202,0.0138945,0.792511,0.1131425,0.0943465
001,110,49664883,49672513,10238485,10240396,955457,956329,88214,818248,819157,362595,0.4777285,0.4781645,0.044107,0.409124,0.4095785,0.1812975
001,111,74087251,23957544,12745173,5190122,1975997,18800,5203,1934558,16640,48802,0.9879985,0.0094,0.0026015,0.967279,0.00832,0.024401
010,000,58599716,36938230,9102633,5777524,1413349,553815,32836,1329686,423320,246994,0.7066745,0.2769075,0.016418,0.664843,0.21166,0.123497
010,001,29593597,67891744,5890808,11299859,247495,1726311,26194,232187,1602131,165682,0.1237475,0.8631555,0.013097,0.1160935,0.8010655,0.082841
010,011,49675619,49656065,10238422,10238831,972337,970495,57168,863152,863224,273624,0.4861685,0.4852475,0.028584,0.431576,0.431612,0.136812
010,100,45791006,51703216,8535979,8654112,840898,1115529,43573,847445,883852,268703,0.420449,0.5577645,0.0217865,0.4237225,0.441926,0.1343515
010,101,47451988,47477268,7274427,7279176,975770,976462,47768,811599,812682,375719,0.487885,0.488231,0.023884,0.4057995,0.406341,0.1878595
010,110,32494686,66842537,7727708,12747292,136681,1835635,27684,226038,1585366,188596,0.0683405,0.9178175,0.013842,0.113019,0.792683,0.094298
010,111,57899502,39505499,10238422,7010886,1452679,504757,42564,1388106,335891,276003,0.7263395,0.2523785,0.021282,0.694053,0.1679455,0.1380015
