player1,player2,p1_card_wins,p2_card_wins,card_draws,p1_trick_wins,p2_trick_wins,trick_draws
000,001,3965,4471,1564,3965,4471,1564
000,010,2093,6728,1179,2093,6728,1179
000,011,1132,7671,1197,1132,7671,1197
000,100,11,9953,36,11,9953,36
000,101,1724,6922,1354,1724,6922,1354
000,110,93,9631,276,93,9631,276
000,111,3239,3283,3478,3239,3283,3478
001,000,4471,3965,1564,4471,3965,1564
001,010,8025,1163,812,8025,1163,812
001,011,8891,472,637,8891,472,637
001,100,248,9373,379,248,9373,379
001,101,7964,1075,961,7964,1075,961
001,110,4131,4062,1807,4131,4062,1807
001,111,9664,93,243,9664,93,243
010,000,6728,2093,1179,6728,2093,1179
010,001,1163,8025,812,1163,8025,812
010,011,4379,4256,1365,4379,4256,1365
010,100,4183,4482,1335,4183,4482,1335
010,101,4071,4041,1888,4071,4041,1888
010,110,1187,7874,939,1187,7874,939
010,111,6942,1717,1341,6942,1717,1341
011,000,7671,1132,1197,7671,1132,1197
011,001,472,8891,637,472,8891,637
011,010,4256,4379,1365,4256,4379,1365
011,100,4269,4353,1378,4269,4353,1378
011,101,4354,4313,1333,4354,4313,1333
011,110,9338,246,416,9338,246,416
011,111,9951,9,40,9951,9,40
100,000,9953,11,36,9953,11,36
100,001,9373,248,379,9373,248,379
100,010,4482,4183,1335,4482,4183,1335
100,011,4353,4269,1378,4353,4269,1378
100,101,4371,4277,1352,4371,4277,1352
100,110,545,8733,722,545,8733,722
100,111,7712,1130,1158,7712,1130,1158
101,000,6922,1724,1354,6922,1724,1354
101,001,1075,7964,961,1075,7964,961
101,010,4041,4071,1888,4041,4071,1888
101,011,4313,4354,1333,4313,4354,1333
101,100,4277,4371,1352,4277,4371,1352
101,110,1168,7982,850,1168,7982,850
101,111,6575,2216,1209,6575,2216,1209
110,000,9631,93,276,9631,93,276
110,001,4062,4131,1807,4062,4131,1807
110,010,7874,1187,939,7874,1187,939
110,011,246,9338,416,246,9338,416
110,100,8733,545,722,8733,545,722
110,101,7982,1168,850,7982,1168,850
110,111,4389,4087,1524,4389,4087,1524
111,000,3283,3239,3478,3283,3239,3478
111,001,93,9664,243,93,9664,243
111,010,1717,6942,1341,1717,6942,1341
111,011,9,9951,40,9,9951,40
111,100,1130,7712,1158,1130,7712,1158
111,101,2216,6575,1209,2216,6575,1209
111,110,4087,4389,1524,4087,4389,1524
